surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
no,adult,529865,38.6,68.0,20.0,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,normal,distend_large,38.0,6.5,clear,2.3,lived,no,5124,0,0,yes
no,adult,527829,38.3,54.0,18.0,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,5.4,absent,distend_small,44.0,7.2,serosanguious,2.3,lived,no,2124,0,0,yes
yes,adult,534403,38.2,42.0,20.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,decreased,distend_large,47.0,60.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,527883,39.3,64.0,90.0,warm,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,none,none,less_1_liter,6.5,normal,distend_large,39.0,6.7,cloudy,2.3,lived,yes,31110,0,0,no
yes,adult,528570,37.5,60.0,50.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,3.5,decreased,distend_small,35.0,6.5,cloudy,2.3,died,yes,2209,0,0,no
yes,adult,534626,37.7,80.0,25.0,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,slight,more_1_liter,5.0,decreased,normal,50.0,55.0,serosanguious,2.0,lived,yes,4206,0,0,no
yes,adult,529796,38.2,100.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,5.0,absent,distend_small,52.0,6.6,cloudy,2.3,lived,yes,2124,0,0,no
yes,adult,528638,37.7,120.0,28.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,5.0,absent,distend_large,65.0,7.0,serosanguious,2.3,died,yes,4205,0,0,yes
yes,adult,534624,38.2,76.0,25.0,cool,reduced,normal_pink,less_3_sec,mild_pain,absent,severe,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,euthanized,yes,11124,0,0,no
yes,young,5297159,38.8,150.0,50.0,normal,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,slight,none,none,5.0,absent,distend_large,50.0,6.2,cloudy,2.3,died,yes,4207,0,0,no
yes,adult,534787,38.0,36.0,16.0,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,significant,more_1_liter,2.0,decreased,distend_large,37.0,75.0,cloudy,1.0,euthanized,no,3111,0,0,no
no,adult,528620,36.9,50.0,40.0,warm,reduced,pale_pink,less_3_sec,alert,hypomotile,slight,significant,none,7.0,absent,distend_large,37.5,6.5,cloudy,2.3,lived,no,3111,0,0,no
no,adult,528019,37.8,40.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,normal,normal,37.0,6.8,cloudy,2.3,lived,no,0,0,0,no
no,adult,529172,38.2,56.0,40.0,cold,reduced,normal_pink,less_3_sec,depressed,absent,moderate,slight,less_1_liter,7.5,absent,distend_large,47.0,7.2,clear,2.5,lived,no,8300,0,0,yes
yes,adult,534644,38.6,48.0,12.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,absent,distend_large,36.0,67.0,cloudy,2.3,lived,no,0,0,0,no
no,adult,530624,40.0,78.0,25.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,none,none,5.0,absent,normal,66.0,6.5,cloudy,2.3,died,yes,8400,0,0,yes
yes,adult,527544,38.2,70.0,16.0,cool,absent,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,5.0,absent,distend_large,60.0,7.5,cloudy,2.3,died,yes,1400,0,0,no
yes,adult,527758,38.2,72.0,18.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,35.0,6.4,cloudy,2.3,lived,yes,3124,0,0,no
no,adult,530439,38.5,54.0,25.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,5.0,normal,distend_large,40.0,6.8,cloudy,7.0,lived,no,0,0,0,yes
yes,adult,5283431,38.5,66.0,24.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,40.0,6.7,clear,2.3,lived,yes,31110,0,0,yes
no,adult,5275212,37.8,82.0,12.0,cool,normal,normal_pink,more_3_sec,severe_pain,hypomotile,moderate,none,more_1_liter,5.0,absent,distend_large,50.0,7.0,cloudy,2.3,euthanized,yes,2205,0,0,no
no,young,5305129,39.5,84.0,30.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,28.0,5.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,529428,38.2,64.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,45.0,7.5,cloudy,2.3,lived,yes,2124,0,0,no
yes,adult,529126,38.0,50.0,36.0,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,none,5.0,decreased,distend_large,39.0,6.6,clear,5.3,lived,yes,8400,0,0,yes
no,adult,535054,38.6,45.0,16.0,warm,normal,bright_pink,less_3_sec,alert,hypermotile,none,slight,none,5.0,normal,normal,43.0,58.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,528890,38.9,80.0,44.0,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,decreased,normal,54.0,6.5,serosanguious,2.3,died,yes,7111,0,0,no
yes,adult,530034,37.0,66.0,20.0,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,none,none,5.0,normal,distend_large,35.0,6.9,cloudy,2.3,died,yes,31110,0,0,no
yes,adult,534004,38.2,78.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_small,43.0,62.0,cloudy,2.0,euthanized,no,2209,0,0,no
no,adult,533902,38.5,40.0,16.0,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,none,5.0,decreased,other,37.0,67.0,cloudy,2.3,lived,no,0,0,0,no
yes,adult,533886,38.2,120.0,70.0,cold,normal,pale_cyanotic,more_3_sec,depressed,absent,none,slight,none,5.0,absent,distend_large,55.0,65.0,cloudy,2.3,euthanized,no,3205,0,0,no
no,adult,527702,37.2,72.0,24.0,cool,increased,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,significant,none,5.0,absent,distend_small,44.0,7.5,serosanguious,3.3,euthanized,yes,2208,0,0,yes
yes,adult,529386,37.5,72.0,30.0,cold,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,none,5.0,decreased,distend_large,60.0,6.8,cloudy,2.3,died,yes,3205,0,0,no
yes,adult,530612,36.5,100.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,5.0,absent,distend_small,50.0,6.0,serosanguious,3.4,lived,yes,2208,0,0,yes
yes,adult,534618,37.2,40.0,20.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,normal,36.0,62.0,clear,1.0,euthanized,no,6112,0,0,no
